Stage of Escalation,Priority,APT,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Frequent changes in processor,Number of Processors,Customer call back request,Business Impact mentioned?,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
2.two_days_b4_BI,High,15.41,0,2.8,2,1,0,No,No,,,,
3.BI_is_communicated,High,17.41,0,2.8,2,1,0,No,Yes,Yes,Yes,200,No
4.Seven_days_b4_escalation,High,6.016,0,0.04,1,0,0,No,Yes,Yes,Yes,200,No
5.two_days_b4_escalation,High,11.016,0,5.04,1,0,0,No,Yes,Yes,Yes,200,No
6.message_escalated,High,13.016,0,7.7,2,1,1,No,Yes,Yes,Yes,200,No
1.message_created,Medium,0,0,0,0,0,1,No,No,,,,
2.two_days_b4_BI,High,128.96,7,48,6,1,1,Yes,Yes,No,No,5,No
3.BI_is_communicated,High,130.96,8,50,7,1,1,Yes,Yes,No,No,5,No
4.Seven_days_b4_escalation,High,123.96,6,46,5,1,1,Yes,Yes,No,No,5,No
5.two_days_b4_escalation,High,128.96,7,48,6,1,1,Yes,Yes,No,No,5,No
6.message_escalated,High,130.96,8,50,7,1,1,Yes,Yes,No,No,5,No
1.message_created,High,0,0,0,0,0,1,No,Yes,No,No,50,Yes
2.two_days_b4_BI,High,0,0,0,0,0,1,No,Yes,No,No,50,Yes
3.BI_is_communicated,High,0,0,0,0,0,1,No,Yes,No,No,50,Yes
4.Seven_days_b4_escalation,High,5.79,0,0.16,2,1,2,No,Yes,No,No,50,Yes
5.two_days_b4_escalation,High,11.25,1,1,2,2,2,No,Yes,No,No,50,Yes
6.message_escalated,High,13.25,2,1,2,3,3,No,Yes,No,No,50,Yes
1.message_created,Medium,0,0,0,0,0,0,No,Yes,Yes,Yes,0,
2.two_days_b4_BI,Medium,0,0,0,0,0,0,No,Yes,Yes,Yes,0,
3.BI_is_communicated,High,1.04,0,1.91,0,1,1,No,Yes,Yes,Yes,0,
4.Seven_days_b4_escalation,High,19.33,0,0.8,2,1,1,No,Yes,Yes,Yes,0,
5.two_days_b4_escalation,High,24.33,0,0.8,2,1,1,No,Yes,Yes,Yes,0,
6.message_escalated,High,26.33,0,19.96,2,2,2,No,Yes,Yes,Yes,0,
1.message_created,High,0,0,0,0,0,0,No,Yes,Yes,Yes,100,No
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,Yes,Yes,100,No
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,Yes,Yes,100,No
4.Seven_days_b4_escalation,High,5.16,0,3.16,1,0,0,No,Yes,Yes,Yes,100,No
5.two_days_b4_escalation,High,10.16,0,10.16,1,0,0,No,Yes,Yes,Yes,100,No
6.message_escalated,High,12.16,0,12.16,1,1,1,No,Yes,Yes,Yes,100,No
1.message_created,High,0,1,0,0,0,0,No,Yes,No,No,5000,Yes
2.two_days_b4_BI,High,12.82,19,12.33,17,1,1,Yes,Yes,No,No,5000,Yes
3.BI_is_communicated,High,12.86,19,4.91,17,2,2,Yes,Yes,No,Yes,5000,Yes
4.Seven_days_b4_escalation,High,5.82,19,0.41,6,0,0,Yes,Yes,No,Yes,5000,Yes
5.two_days_b4_escalation,High,10.82,15,0.41,14,0,0,Yes,Yes,No,Yes,5000,Yes
6.message_escalated,High,12.82,17,0.41,16,1,1,Yes,Yes,No,Yes,5000,Yes
1.message_created,High,0,0,0,0,1,1,No,Yes,No,Yes,0,No
2.two_days_b4_BI,High,0,0,0,0,1,1,No,Yes,No,Yes,0,No
3.BI_is_communicated,High,0,0,0,0,1,1,No,Yes,No,Yes,0,No
4.Seven_days_b4_escalation,High,0,0,0,0,1,1,No,Yes,No,Yes,0,No
5.two_days_b4_escalation,High,0,0,0,0,1,1,No,Yes,No,Yes,0,No
6.message_escalated,High,1.37,0,2.75,1,2,2,No,Yes,No,Yes,0,No
1.message_created,High,0,0,0,0,0,0,No,Yes,No,Yes,0,No
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,No,Yes,0,No
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,No,Yes,0,No
4.Seven_days_b4_escalation,High,0,0,0,0,0,0,No,Yes,No,Yes,0,No
5.two_days_b4_escalation,High,0.02,0,0.75,0,0,0,No,Yes,No,Yes,0,No
6.message_escalated,High,0.43,0,0.75,1,0,0,No,Yes,No,Yes,0,No
1.message_created,High,0,0,0,0,1,1,No,Yes,No,No,20,No
2.two_days_b4_BI,High,0,0,0,0,1,1,No,Yes,No,No,20,No
3.BI_is_communicated,High,0,0,0,0,1,1,No,Yes,No,No,20,No
4.Seven_days_b4_escalation,High,5.91,0,0.74,3,1,1,No,Yes,No,No,20,No
